Best Accuracy -> 99.55% on Stump 200


Accuracy for Test Set -> 99.81%

Accuracy till 1 Stumps -> 99.45%
Accuracy till 2 Stumps -> 99.45%
Accuracy till 3 Stumps -> 99.45%
Accuracy till 4 Stumps -> 99.45%
Accuracy till 5 Stumps -> 99.45%
Accuracy till 6 Stumps -> 99.45%
Accuracy till 7 Stumps -> 99.45%
Accuracy till 8 Stumps -> 99.45%
Accuracy till 9 Stumps -> 99.5%
Accuracy till 10 Stumps -> 99.25%
Accuracy till 11 Stumps -> 99.45%
Accuracy till 12 Stumps -> 99.25%
Accuracy till 13 Stumps -> 99.45%
Accuracy till 14 Stumps -> 99.25%
Accuracy till 15 Stumps -> 99.5%
Accuracy till 16 Stumps -> 99.4%
Accuracy till 17 Stumps -> 99.5%
Accuracy till 18 Stumps -> 99.5%
Accuracy till 19 Stumps -> 99.4%
Accuracy till 20 Stumps -> 99.45%
Accuracy till 21 Stumps -> 99.4%
Accuracy till 22 Stumps -> 99.4%
Accuracy till 23 Stumps -> 99.4%
Accuracy till 24 Stumps -> 99.45%
Accuracy till 25 Stumps -> 99.5%
Accuracy till 26 Stumps -> 99.45%
Accuracy till 27 Stumps -> 99.45%
Accuracy till 28 Stumps -> 99.45%
Accuracy till 29 Stumps -> 99.45%
Accuracy till 30 Stumps -> 99.45%
Accuracy till 31 Stumps -> 99.45%
Accuracy till 32 Stumps -> 99.45%
Accuracy till 33 Stumps -> 99.45%
Accuracy till 34 Stumps -> 99.45%
Accuracy till 35 Stumps -> 99.45%
Accuracy till 36 Stumps -> 99.45%
Accuracy till 37 Stumps -> 99.45%
Accuracy till 38 Stumps -> 99.45%
Accuracy till 39 Stumps -> 99.45%
Accuracy till 40 Stumps -> 99.5%
Accuracy till 41 Stumps -> 99.45%
Accuracy till 42 Stumps -> 99.5%
Accuracy till 43 Stumps -> 99.5%
Accuracy till 44 Stumps -> 99.5%
Accuracy till 45 Stumps -> 99.5%
Accuracy till 46 Stumps -> 99.5%
Accuracy till 47 Stumps -> 99.5%
Accuracy till 48 Stumps -> 99.5%
Accuracy till 49 Stumps -> 99.5%
Accuracy till 50 Stumps -> 99.5%
Accuracy till 51 Stumps -> 99.5%
Accuracy till 52 Stumps -> 99.55%
Accuracy till 53 Stumps -> 99.5%
Accuracy till 54 Stumps -> 99.55%
Accuracy till 55 Stumps -> 99.5%
Accuracy till 56 Stumps -> 99.55%
Accuracy till 57 Stumps -> 99.5%
